"","NDVI","Time","Type"
"1",-1928.86839874833,2000-02-18,"none"
"2",-1896.3756292053,2000-02-19,"none"
"3",-1862.25981337262,2000-02-20,"none"
"4",-1826.56015108195,2000-02-21,"none"
"5",-1789.31857895408,2000-02-22,"none"
"6",-1750.57969425284,2000-02-23,"none"
"7",-1710.39067303846,2000-02-24,"none"
"8",-1668.80118234055,2000-02-25,"none"
"9",-1625.86328662783,2000-02-26,"none"
"10",-1581.63134886803,2000-02-27,"none"
"11",-1536.16192629045,2000-02-28,"none"
"12",-1489.51366119535,2000-02-29,"none"
"13",-1441.74716698679,2000-03-01,"none"
"14",-1392.92490973033,2000-03-02,"none"
"15",-1343.11108549454,2000-03-03,"none"
"16",-1292.3714937671,2000-03-04,"none"
"17",-1240.77340723488,2000-03-05,"none"
"18",-1188.38543823918,2000-03-06,"none"
"19",-1135.2774022098,2000-03-07,"none"
"20",-1081.52017840631,2000-03-08,"none"
"21",-1027.18556828382,2000-03-09,"none"
"22",-972.346151822099,2000-03-10,"none"
"23",-917.075142154647,2000-03-11,"none"
"24",-861.446238836227,2000-03-12,"none"
"25",-805.533480096871,2000-03-13,"none"
"26",-749.41109442887,2000-03-14,"none"
"27",-693.153351855662,2000-03-15,"none"
"28",-636.834415233542,2000-03-16,"none"
"29",-580.528191935172,2000-03-17,"none"
"30",-524.308186264122,2000-03-18,"none"
"31",-468.247352947481,2000-03-19,"none"
"32",-412.417952050736,2000-03-20,"none"
"33",-356.891405655481,2000-03-21,"none"
"34",-301.738156636194,2000-03-22,"none"
"35",-247.027529866876,2000-03-23,"none"
"36",-192.827596182267,2000-03-24,"none"
"37",-139.205039411331,2000-03-25,"none"
"38",-86.2250267929966,2000-03-26,"none"
"39",-33.9510830755532,2000-03-27,"none"
"40",17.5550314081747,2000-03-28,"none"
"41",68.2334384077908,2000-03-29,"none"
"42",118.02625489304,2000-03-30,"none"
"43",166.877701402365,2000-03-31,"none"
"44",214.734205354374,2000-04-01,"none"
"45",261.544499087025,2000-04-02,"none"
"46",307.259712402567,2000-04-03,"none"
"47",351.833459410068,2000-04-04,"none"
"48",395.221919471713,2000-04-05,"none"
"49",437.383912073824,2000-04-06,"none"
"50",478.28096545881,2000-04-07,"none"
"51",517.877378869866,2000-04-08,"none"
"52",556.140278276235,2000-04-09,"none"
"53",593.03966546319,2000-04-10,"none"
"54",628.548460387399,2000-04-11,"none"
"55",662.642536715235,2000-04-12,"none"
"56",695.300750478525,2000-04-13,"none"
"57",726.504961799427,2000-04-14,"none"
"58",756.240049653312,2000-04-15,"none"
"59",784.493919655914,2000-04-16,"none"
"60",811.257504878217,2000-04-17,"none"
"61",836.52475970991,2000-04-18,"none"
"62",860.292646809403,2000-04-19,"none"
"63",882.561117195469,2000-04-20,"none"
"64",903.333083552486,2000-04-21,"none"
"65",922.614386837997,2000-04-22,"none"
"66",940.413756297662,2000-04-23,"none"
"67",956.742763008919,2000-04-24,"none"
"68",971.615767090429,2000-04-25,"none"
"69",985.049858729837,2000-04-26,"none"
"70",997.064793197399,2000-04-27,"none"
"71",1007.68292002759,2000-04-28,"none"
"72",1016.92910656488,2000-04-29,"none"
"73",1024.83065608342,2000-04-30,"none"
"74",1031.41722070335,2000-05-01,"none"
"75",1036.72070933886,2000-05-02,"none"
"76",1040.77519092485,2000-05-03,"none"
"77",1043.6167931802,2000-05-04,"none"
"78",1045.28359717599,2000-05-05,"none"
"79",1045.81552798692,2000-05-06,"none"
"80",1045.25424171291,2000-05-07,"none"
"81",1043.6430091662,2000-05-08,"none"
"82",1041.02659652683,2000-05-09,"none"
"83",1037.45114327584,2000-05-10,"none"
"84",1032.96403772148,2000-05-11,"none"
