,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,cluster,millis,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,system:index,Timestamp,Jdate
0,58.0,2062.3348359573224,3742.4412168792933,5215.263643267875,-16961.01317752362,2130.8435341835057,3,1741.2918279412838,5,950832000000,991.7760696624382,3487.6963225124073,1055.463418648671,1287.3677772168937,2000_02_18,2000-02-18,2451592.5
1,71.0,2063.3865094826106,4322.281978798586,5923.299678341673,1397.7248320152228,2267.317007917008,3,1295.1533153315331,5,952214400000,863.7326532576268,3789.932750095093,914.2548492987167,1559.7933324298685,2000_03_05,2000-03-05,2451608.5
2,85.0,2099.1332117249785,5982.798372068754,8481.564203010588,2778.7193966862164,2868.0181704458582,1,4560.615361792526,5,953596800000,287.4206951690941,3662.970303352847,208.05006467872516,710.6184737174725,2000_03_21,2000-03-21,2451624.5
3,101.0,2418.853478609992,5282.773877449765,8033.773205388448,3930.2218879277925,2701.614740368509,3,1102.7679071174646,5,954979200000,349.24815075272176,3421.8353494238377,368.2969489263618,985.0558668704364,2000_04_06,2000-04-06,2451640.5
4,120.0,2110.6219409877067,4894.924563359346,8735.102733661146,-11841.05297178601,2813.3993680518793,0,1996.7664082300212,5,956361600000,177.8732091949639,2703.4994708546756,136.04879156722058,439.43930564570815,2000_04_22,2000-04-22,2451656.5
5,138.0,2115.5670916946924,5102.8927989733975,8609.049260432477,6087.266936023131,3349.2866983372924,0,1425.9907002188183,5,957744000000,206.84548097935692,2895.5433689790693,141.94728222322522,573.704414587332,2000_05_08,2000-05-08,2451672.5
6,152.0,2112.0,4807.384705369635,8519.001017369268,-11074.066172743698,3430.0,0,1840.0,5,959126400000,213.52278225806452,2679.7600884544418,150.54129758199664,427.47619223953234,2000_05_24,2000-05-24,2451688.5
7,161.0,2112.0,5075.636223625443,8763.669524018853,-11195.665130494423,3608.0,0,408.5766624469432,5,960508800000,189.0,2875.398216939079,103.0,457.54077386222775,2000_06_09,2000-06-09,2451704.5
8,177.0,2112.0,5255.398268553776,8687.423321168195,-11072.030083029704,3697.0,0,570.6440948472413,5,961891200000,211.39022206540676,2983.2042075424506,132.44111034503433,1028.0,2000_06_25,2000-06-25,2451720.5
9,193.0,2112.0,5287.146354068784,8551.16625806887,-11477.33309596225,3617.2981529377316,0,537.4520290683432,5,963273600000,233.51389965471074,3031.329456686487,166.5086368757041,483.2941640485808,2000_07_11,2000-07-11,2451736.5
10,209.0,2112.0,5319.6328254815235,8603.448054642367,-11916.174746174745,3404.0,0,353.84243472950277,5,964656000000,230.53368867022004,3051.3244336105536,157.0,941.0,2000_07_27,2000-07-27,2451752.5
11,234.0,2181.0,5703.699783190919,8503.474102299147,4922.581434029577,2925.7772426763936,1,1059.6862605179438,5,966038400000,273.50004828585224,3367.663056848605,194.52295177222544,1089.73163815817,2000_08_12,2000-08-12,2451768.5
12,248.0,2200.161035880747,5341.717979802878,8672.223155496189,-13246.499168642844,2307.000836603243,1,2063.768206221823,5,967420800000,205.39026665608057,3023.0476575121165,151.1326514545939,917.0053061548748,2000_08_28,2000-08-28,2451784.5
13,261.0,2116.0,6063.178391634077,8399.80807461494,3006.452551276337,2612.0698470310813,1,4463.778954268699,5,968803200000,311.8438968137263,3687.423785432116,228.48869013571837,1698.6998766201964,2000_09_13,2000-09-13,2451800.5
14,287.0,2213.5967311594577,5471.344689051095,8739.154681467182,-17358.39533203806,1323.363111346046,1,3152.348325083572,5,970185600000,204.9240189866915,3086.7710458081247,141.7332127430257,374.8656989469787,2000_09_29,2000-09-29,2451816.5
15,292.0,2178.735980011105,4959.5108265330855,8287.866117153588,17280.402145402975,882.8298874640146,3,5611.051761907743,5,971568000000,303.7373599540362,2927.417261171659,207.06402407077528,1111.595353326401,2000_10_15,2000-10-15,2451832.5
16,314.0,2069.190216017397,3999.572656100821,4765.200634920635,-1723.2048899557665,1923.4521138464734,3,1008.9462693571094,5,972950400000,1375.1175221102228,4238.534525901081,1453.5264937300221,1184.3613120097789,2000_10_31,2000-10-31,2451848.5
17,328.0,2467.040957202025,5342.969394866822,7836.984556599267,14498.963692728372,1947.6634404041183,3,1968.0875748502995,5,974332800000,398.630042462845,3407.5956689409672,368.9092470901516,664.4410224177666,2000_11_16,2000-11-16,2451864.5
18,339.0,2059.709319089138,2593.2351691055924,2717.237605383247,13454.33065983595,2227.283831922001,3,2670.5094577553596,5,975715200000,2208.333190791818,4141.858587267276,2255.0281737568753,1713.648571920165,2000_12_02,2000-12-02,2451880.5
19,364.0113276810125,2151.69581370763,5920.593361175427,8348.338412663024,-2272.5841093244717,2865.9034436834095,1,4623.856770833333,5,977097600000,338.64232195722315,3727.934584766985,247.98253356607273,663.1178073077753,2000_12_18,2000-12-18,2451896.5
20,6.0,2068.2152279273205,4318.190017905103,6362.349225921359,-1812.326840227915,2795.3471393471395,3,4890.435157372339,5,978307200000,750.9745835903763,3869.962611663154,783.5130399583646,1072.4274262237586,2001_01_01,2001-01-01,2451910.5
21,26.0,2068.4118818945612,4384.204581412946,6558.0784019975035,15413.055298004054,2403.272779666878,3,1838.7609114249037,5,979689600000,606.6531261938113,3311.0887559996854,720.7144224633057,839.496662303665,2001_01_17,2001-01-17,2451926.5
22,37.0,2082.333260606325,6242.159631529851,8031.597518248175,-967.747378075668,2740.0879577817204,1,2544.165353404681,5,981072000000,406.50364658876333,4367.114363766182,367.34859633235226,967.355752049369,2001_02_02,2001-02-02,2451942.5
23,60.0,2454.906298114108,4703.126516323374,6883.6438174781015,1092.2839810703147,2494.0134359209924,3,3983.7269300911853,5,982454400000,624.0589039960206,3599.980871633149,590.9105269756362,967.5638193582118,2001_02_18,2001-02-18,2451958.5
24,67.0,2058.927446368589,3360.0385949310803,4386.4250077954475,-16002.723968940936,2331.2245911724467,3,2287.4105165193114,5,983836800000,1312.3428155137724,3615.0009228335384,1389.6372653894778,1199.3401710590363,2001_03_06,2001-03-06,2451974.5
25,90.0,2059.1688706334266,4254.216963610098,6431.201704167222,-14195.069447399586,2363.448563746993,3,2320.1261235955058,5,985219200000,607.9043896992114,3294.4309569461393,751.4918501865004,854.9540998441506,2001_03_22,2001-03-22,2451990.5
26,106.0,2059.6501036617133,4384.73550181896,6944.321703062096,-12917.37292137171,2619.924182862565,3,2255.3968565815326,5,986601600000,478.0397126182892,2990.2103526734927,623.9168411911937,807.7887264843696,2001_04_07,2001-04-07,2452006.5
27,115.0,2111.8890023190443,5231.8717378221145,8608.22743042171,-12164.638449513544,2925.471509842875,0,524.0917080755839,5,987984000000,206.1958588475884,2991.246910745296,147.23688163688163,519.3147584209158,2001_04_23,2001-04-23,2452022.5
28,140.0,2106.2736777026307,5407.1168767075,8609.068579904553,6082.813090762913,3499.712905567931,0,1102.8869183922047,5,989366400000,235.28723469236385,3151.284453157626,167.55701950824042,519.6279607238077,2001_05_09,2001-05-09,2452038.5
29,151.0,2113.929005491686,5551.435062266245,8623.909372801418,5828.995301479144,3762.4906621392192,0,4037.0,5,990748800000,231.71503638460624,3255.506262616994,171.38933879149238,531.7444363398187,2001_05_25,2001-05-25,2452054.5
30,165.0,2112.0,5579.66790532815,8715.46090133983,6204.658322403405,3900.0,0,2436.5520508015825,5,992131200000,222.0,3235.5082803489577,145.0,506.52017208413,2001_06_10,2001-06-10,2452070.5
31,188.0,2112.0,5495.259235276977,8719.257837699333,6077.134541477512,3840.546792755821,0,1177.9351126827762,5,993513600000,219.6076985477202,3143.6535198661322,150.46593293207223,485.605576135699,2001_06_26,2001-06-26,2452086.5
32,195.0,2112.0,5255.29177571249,8707.36948815726,-11834.615736492866,3689.0,0,406.09413034095815,5,994896000000,204.51547477940207,2955.5768071901316,144.45079167960262,441.4724756843477,2001_07_12,2001-07-12,2452102.5
33,211.0,2112.0,5287.374244659566,8619.593398235473,-12210.799667558753,3458.0,0,489.0390055722246,5,996278400000,225.0,3011.5932074835664,159.0,457.4633070318306,2001_07_28,2001-07-28,2452118.5
34,227.0,2112.0,5435.5330338266385,8667.481865932967,-12760.443146684987,3112.0,0,516.350608804246,5,997660800000,221.0,3091.4730750811473,159.0,461.418534021527,2001_08_13,2001-08-13,2452134.5
35,245.0,2253.2439968008866,5870.9883126966615,8463.451677191097,3554.7452229299365,2891.5042319876534,1,3049.480969128566,5,999043200000,307.5917043045442,3591.575707730932,219.18887625784177,587.7261358616237,2001_08_29,2001-08-29,2452150.5
36,268.0,2217.3406887005976,6351.048319191657,8479.96279272243,2361.5142616033754,2483.2359704806568,1,3602.2906403940888,5,1000425600000,333.67960876328414,3920.0549223527755,231.6291514254195,679.4551048744219,2001_09_14,2001-09-14,2452166.5
37,277.0,2237.95416472021,5986.58769771529,8672.953487288596,-15561.463535824729,1955.0869490506057,1,2992.465942120561,5,1001808000000,238.75008415070414,3599.2588710814493,183.36627004655975,551.3303638990163,2001_09_30,2001-09-30,2452182.5
38,302.0,2424.4388434713815,6560.391963931682,8416.344404204576,-715.2544652399204,2299.490461637879,1,3695.4364069426374,5,1003190400000,365.2435047884299,4174.986114550199,270.29808461574663,727.5185020141885,2001_10_16,2001-10-16,2452198.5
39,314.0,2501.128829644159,5922.711845525437,8287.865076521472,14697.835222422149,1923.1658936468557,1,1327.4678436317781,5,1004572800000,366.6559836629228,3824.4151718471862,271.05011194641133,679.4164626204741,2001_11_01,2001-11-01,2452214.5
