,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,cluster,millis,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,system:index,Timestamp,Jdate
0,58.0,2061.1742384994354,3934.1619494355223,5410.227413491315,-16959.65227544012,2123.424564796905,3,1904.3849011459513,4,950832000000,991.1102605425732,3566.4450139794967,991.0191544670954,1287.8899700787006,2000_02_18,2000-02-18,2451592.5
1,70.0,2063.0989831078605,4637.043546148508,6046.238577586207,1385.540096186109,2372.0936254152825,3,1234.3551236749117,4,952214400000,861.4832183370366,3920.077967806841,944.3379979828543,1592.2676472167052,2000_03_05,2000-03-05,2451608.5
2,85.0,2100.157566516888,6176.816073024161,8544.781064359953,2782.9334135218887,2851.3252183746044,1,4494.721575663274,4,953596800000,300.85851315772067,3791.7332542473414,235.30259019215097,710.7197061507848,2000_03_21,2000-03-21,2451624.5
3,103.0,2414.0829306037053,5474.092817679558,7966.7299445740955,-11627.435555555556,2513.4638364779876,3,1132.924062995971,4,954979200000,366.9570619998699,3502.574412532637,399.6486004025979,1001.7356194156001,2000_04_06,2000-04-06,2451640.5
4,120.0,2111.223729992033,5087.584012292277,8800.001745381125,-11841.107006248367,2809.5948830861144,0,2061.290005387931,4,956361600000,177.28483230368917,2799.4469021027016,140.85983110925773,439.07438850901747,2000_04_22,2000-04-22,2451656.5
5,138.0,2113.752720599328,5472.5642041190695,8672.879011679772,6202.728622698608,3361.680601873908,0,1231.1967590665668,4,957744000000,221.13533074664892,3169.088186724323,142.14258110489857,555.4750455298861,2000_05_08,2000-05-08,2451672.5
6,152.0,2112.0,5015.517015070491,8583.159860583675,-11071.697279361413,3429.0,0,1904.0,4,959126400000,212.5222407641846,2807.56067110566,155.0,427.4766853201892,2000_05_24,2000-05-24,2451688.5
7,161.0,2112.0,5287.69292841358,8839.315258423003,-11327.144468466999,3607.0,0,489.4476212795875,4,960508800000,184.46939715689714,3011.4182694304823,101.0,457.6144367618177,2000_06_09,2000-06-09,2451704.5
8,177.0,2112.0,5431.599176354063,8743.766054592532,-11073.143043450602,3697.0,0,614.8467063770147,4,961891200000,205.47503878241537,3095.3800482646034,132.51734305889656,1028.0,2000_06_25,2000-06-25,2451720.5
9,193.0,2112.0,5479.724694636218,8583.725586795532,-11473.072340969087,3621.7623621220077,0,728.454433236933,4,963273600000,237.33741852152232,3159.3256292468177,174.57784487639177,491.5284465336965,2000_07_11,2000-07-11,2451736.5
10,209.0,2112.0,5463.376339242624,8647.530246060755,-11909.521896955504,3401.0,0,434.27655889145495,4,964656000000,229.50932333582332,3131.5463220857496,158.47464310384527,940.0,2000_07_27,2000-07-27,2451752.5
11,234.0,2181.0,5783.635036210609,8503.45587006476,4927.139672497502,2921.542221528645,1,997.4805073292442,4,966038400000,278.5361207986816,3415.5339784888265,204.46931916738941,1089.7157400016679,2000_08_12,2000-08-12,2451768.5
12,248.0,2202.406780734038,5519.917854960277,8607.448421598496,-13149.219675897359,2307.643525209735,1,2125.530303030303,4,967420800000,236.95947030497592,3119.6250303914417,183.04840005993816,921.5580339431342,2000_08_28,2000-08-28,2451784.5
13,261.0,2116.0,6127.0468827746345,8399.488914384052,3010.925503151942,2603.4864300222457,0,4432.189952669103,4,968803200000,323.5380511901333,3735.4802520717435,241.4017684298645,1692.50781202831,2000_09_13,2000-09-13,2451800.5
14,287.0,2208.9859039820035,5536.435386334976,8737.42898378957,-17360.507609437613,1315.5831908237747,1,3185.387273914212,4,970185600000,205.62680187844552,3183.5692079781866,173.62859647117108,390.95025230886415,2000_09_29,2000-09-29,2451816.5
15,292.0,2161.250841637002,4959.896537355723,8032.157669519421,17290.416923126762,890.8558396889487,3,5585.82430487406,4,971568000000,366.32134177774503,3054.6183194883483,269.59848166693587,1112.4634033807306,2000_10_15,2000-10-15,2451832.5
16,314.0,2069.802373615867,4448.175593594699,5216.833154937115,-1957.1236004584325,1915.6013197338598,3,911.1405372247691,4,972950400000,1247.4163435857672,4367.233412674799,1327.5832875206156,1122.4408009826182,2000_10_31,2000-10-31,2451848.5
17,328.0,2464.4370707829753,5597.356174730393,8159.97547271745,14425.160422060475,1947.7073280095658,1,2028.986375459312,4,974332800000,334.05408012043944,3533.85881104034,327.26555023923447,631.6593731072078,2000_11_16,2000-11-16,2451864.5
18,339.0,2059.841504047237,2783.2299627744437,2972.705847040461,12878.158992805755,2227.165022101174,3,2800.799874823971,4,975715200000,2079.6796701554076,4143.213516802396,2126.2061777729778,1581.5504115226338,2000_12_02,2000-12-02,2451880.5
19,364.01370402195306,2143.536154040462,6112.468056473699,8351.317360707062,-2331.9144050915806,2859.3219080581684,1,4301.026473637441,4,977097600000,337.3058974633415,3854.8899412258606,247.80055140967352,678.5334734073266,2000_12_18,2000-12-18,2451896.5
20,6.0,2065.7026827003306,4319.3993687532875,6049.009554140127,-1813.8008126548173,2795.2318017762277,3,4892.3802460202605,4,978307200000,863.5238200999445,4047.237871475743,977.363299553231,1174.6116129032257,2001_01_01,2001-01-01,2451910.5
21,26.0,2071.69888616613,4702.693149006912,6881.349788263763,15418.584154184306,2410.146366814703,3,1806.6323789846517,4,979689600000,605.6618364142263,3422.565802482698,688.4281382656155,808.5119556611243,2001_01_17,2001-01-17,2451926.5
22,37.0,2077.674452128533,6046.542958022754,8030.275497688461,-965.4647320968814,2723.540131548687,3,2543.03253934496,4,981072000000,405.6942131191482,4399.3531382339925,400.457510849783,951.4195596602623,2001_02_02,2001-02-02,2451942.5
23,60.0,2451.6568709447383,4831.51963677639,6945.215918922259,1094.8514884979702,2476.09593837535,3,4715.988641526579,4,982454400000,591.287656452309,3695.9254519161245,593.3645359721851,950.8086930365469,2001_02_18,2001-02-18,2451958.5
24,67.0,2058.8959444656125,3216.766058906031,4064.0846481876333,-16249.104294317196,2323.9332827899925,3,2350.8068651488616,4,983836800000,1440.5341591591591,3696.91158392435,1517.3406593406594,1238.0536261491318,2001_03_06,2001-03-06,2451974.5
25,90.0,2059.485164763181,4385.377455773846,6495.848498233216,-14190.879582819156,2371.5156210404375,3,2732.663889778917,4,985219200000,669.6274322274256,3422.94748825957,783.861671275376,887.7136755861588,2001_03_22,2001-03-22,2451990.5
26,106.0,2059.4147182083175,4448.416971059286,6817.205057803469,-12865.235415359104,2619.7647498039996,3,2317.7203974284043,4,986601600000,541.3419611399868,3152.13296460177,686.2029056709714,823.2169178625513,2001_04_07,2001-04-07,2452006.5
27,115.0,2111.8751335470088,5487.255590412849,8672.249532037436,-12158.955026613241,2929.0329050775645,0,657.8749397332191,4,987984000000,205.68971598801082,3151.5543204532933,155.25032895165387,519.3617850360805,2001_04_23,2001-04-23,2452022.5
28,140.0,2105.5382513761265,5662.908592783375,8672.910565590571,6087.803190457719,3499.3409259026644,0,1069.9772827791403,4,989366400000,235.66127919619092,3279.1905113198577,174.42632221721001,519.8486318803691,2001_05_09,2001-05-09,2452038.5
