,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,cluster,millis,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,system:index,Timestamp,Jdate
0,58.0,2061.140378003747,3937.0410425757755,5661.348471615721,-16961.717810674,2115.73691785751,3,1930.8109741358473,6,950832000000,863.6520396208329,3408.6959918043285,910.2317411150962,1272.1034435261708,2000_02_18,2000-02-18,2451592.5
1,70.0,2061.9736035726555,4190.794926004229,5731.764220388133,1413.4312126155519,2267.5830843267386,3,1134.645032051282,6,952214400000,925.5257105459985,3871.5515189656157,1007.9730703986429,1608.8632711167352,2000_03_05,2000-03-05,2451608.5
2,85.0,2096.04967530505,5983.905853876043,8354.302387417967,2783.6046124363975,2859.4354246724997,1,4526.020291778985,6,953596800000,296.5607581542621,3695.6188768688467,235.7122296725867,710.3387464178118,2000_03_21,2000-03-21,2451624.5
3,101.0,2407.2940561230166,5408.420517128722,7904.4979274087555,4160.461736742572,2716.3116630057393,3,1105.1075138922445,6,954979200000,399.23317795654464,3472.4523157208087,399.3240815958119,1001.8812794704389,2000_04_06,2000-04-06,2451640.5
4,120.0,2110.569008784163,4895.566198012995,8671.91899261021,-11839.46417213368,2809.3379651378414,0,2030.4963210288752,6,956361600000,201.4599071380854,2703.513038892036,145.46835501871442,439.5713213213213,2000_04_22,2000-04-22,2451656.5
5,138.0,2114.5732717639735,5166.627729544856,8591.618958114508,6087.072048326894,3353.6718784215827,0,1424.6332850041424,6,957744000000,231.865019982238,2983.3347481931855,147.04818903136942,574.0370370370371,2000_05_08,2000-05-08,2451672.5
6,152.0,2112.0,4839.661131787384,8471.656207535516,-11076.481146259659,3427.0,0,1897.3648531257038,6,959126400000,222.52677239538352,2699.3709848968306,164.48695204530154,427.58852455848825,2000_05_24,2000-05-24,2451688.5
7,161.0,2112.0,5095.212964710323,8743.59695608544,-11194.402170584182,3605.0,0,470.88782651552486,6,960508800000,192.4851164161509,2891.322599361764,105.0,459.67350247143185,2000_06_09,2000-06-09,2451704.5
8,177.0,2112.0,5263.557541566085,8647.612157455073,-11195.94741734499,3704.0,0,542.8659032534247,6,961891200000,217.47030742478427,2999.6557030523377,146.60184986786658,1029.0,2000_06_25,2000-06-25,2451720.5
9,193.0,2112.0,5352.244836352082,8455.747177069115,-11196.107558553851,3633.398108892112,0,772.1302107728337,6,963273600000,257.38691995795165,3078.779963848721,190.51805385556915,507.3839404217667,2000_07_11,2000-07-11,2451736.5
10,209.0,2112.0,5327.308783647489,8559.795136074117,-11902.90618551974,3400.0,0,408.42751575744404,6,964656000000,237.58733179285034,3063.225769175213,168.5627540381013,940.5165472424849,2000_07_27,2000-07-27,2451752.5
11,234.0,2172.0,5616.639562237905,8423.656195603773,4922.220128220396,2909.7551967250397,0,1160.2852700490998,6,966038400000,285.4697411593146,3303.3648458956363,218.46680814940578,1089.8182649486373,2000_08_12,2000-08-12,2451768.5
12,248.0,2200.4754846415335,5390.9210829809435,8481.053860184862,-13153.347555136286,2315.037682017603,1,2125.1639175787473,6,967420800000,246.5497594932927,3062.98680445151,203.44021289178002,921.6570709738401,2000_08_28,2000-08-28,2451784.5
13,261.0,2116.0,6031.372550769917,8302.965103519968,3004.7336815781614,2603.801448462284,0,4434.147049398541,6,968803200000,347.5401434778216,3671.5575576794304,264.495028053997,1698.9614124541897,2000_09_13,2000-09-13,2451800.5
14,287.0,2195.9396553307256,5472.610886242764,8543.76117081448,-17359.29194937536,1323.368386831839,1,3190.1762666938525,6,970185600000,237.24491429120184,3118.32749490835,203.20739992335297,422.7937928254736,2000_09_29,2000-09-29,2451816.5
15,292.0,2131.109250134216,4702.305718475073,6629.500775995862,17280.813936817372,1162.3928221219846,3,4531.976988494247,6,971568000000,718.7324686431015,3181.887916804226,460.6920122887865,1111.4055036404288,2000_10_15,2000-10-15,2451832.5
