,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,cluster,millis,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,system:index,Timestamp,Jdate
0,58.0,2061.9148318906036,3807.6146282973623,5659.1970613656,-16964.93214591727,2133.2045308138286,3,1841.8722856091276,3,950832000000,815.4064300879587,3343.6127568721645,884.0110864745011,1288.249483115093,2000_02_18,2000-02-18,2451592.5
1,71.0,2062.4464638064023,4002.5236850702386,5660.4497816593885,1588.468932038835,2377.0789064236496,3,1359.9938406069255,3,952214400000,944.5960729312764,3855.9489136817383,878.5152766308836,1591.4210248283148,2000_03_05,2000-03-05,2451608.5
2,85.0,2103.5899120211466,5663.453480513629,7966.405169964965,2777.8119253041405,2882.9850690710564,1,4655.568701744352,3,953596800000,398.49362570117285,3694.026191937794,271.1080342795929,823.3476297968398,2000_03_21,2000-03-21,2451624.5
3,100.0,2421.1809545733577,5025.202335967022,7386.866051384385,4163.621205808832,2739.7687335408186,3,1326.3655165023574,3,954979200000,495.49165701042875,3536.517414248021,431.73881755326653,1015.1994865132393,2000_04_06,2000-04-06,2451640.5
4,120.0,2110.3556838787067,4831.923983921393,8286.889100973469,-11848.642404731077,2821.815808228053,0,1806.0415423182524,3,956361600000,237.44094524179542,2797.947507190796,172.3720135679874,519.3991416309013,2000_04_22,2000-04-22,2451656.5
5,138.0,2114.529932321873,5070.85704339754,8144.172420922059,6096.376204501655,3369.6854908774976,0,1487.326795803067,3,957744000000,295.4060300451728,3063.383166969147,182.70708775313403,827.0744849445325,2000_05_08,2000-05-08,2451672.5
6,152.0,2112.0,4718.362008368201,8015.50779453105,-11195.588259902943,3440.0,0,1672.7880230518667,3,959126400000,285.5924528301887,2759.448275862069,184.44108108108108,492.1570945945946,2000_05_24,2000-05-24,2451688.5
7,161.0,2112.0,4781.501895072811,8080.352140077821,-11300.520893141946,3619.0,0,237.1680203854117,3,960508800000,269.5717749757517,2920.5083432657925,136.17267213699608,539.5788611224908,2000_06_09,2000-06-09,2451704.5
8,177.0,2112.0,4560.732519422863,7697.800087489064,-10825.413119440915,3707.0,0,344.7529805480025,3,961891200000,331.2415730337079,2918.6238306253076,185.58290924512298,1029.0,2000_06_25,2000-06-25,2451720.5
9,193.0,2112.0,4334.16482504604,7567.387635511281,-11574.68742597095,3629.723967262964,0,329.63397190293745,3,963273600000,353.65286054827175,2807.814424796344,222.46573604060913,633.7100987575661,2000_07_11,2000-07-11,2451736.5
10,209.0,2112.0,4239.0655161393415,7506.518784530387,-11898.43442726812,3416.0,0,180.91274807795457,3,964656000000,361.8858369098713,2839.2696252878377,228.1375442739079,945.5306711017533,2000_07_27,2000-07-27,2451752.5
11,234.0,2181.0,4335.264889629321,7439.669275123559,4924.015089682081,2933.5580786026203,1,1242.4597991875528,3,966038400000,387.9386676066267,2871.258229700073,260.4235294117647,1083.033002107799,2000_08_12,2000-08-12,2451768.5
12,248.0,2196.1316199424155,4333.836396396397,7453.986301369863,-13257.330769113823,2315.6007323694676,1,1901.146277590722,3,967420800000,407.0279240465933,2807.269557823129,246.98168725557142,919.102309393467,2000_08_28,2000-08-28,2451784.5
13,261.0,2115.927711465256,4978.630818965517,7601.5299093655585,2996.5485129448684,2627.916001619246,1,4561.138542873697,3,968803200000,427.8005444196981,3287.258338783519,277.88705745792225,1702.7117087725737,2000_09_13,2000-09-13,2451800.5
14,287.0,2178.266305744763,4833.0256849315065,7324.102959777384,-17248.7773633625,1339.0915404506834,1,3049.4056455417517,3,970185600000,496.0911318443125,3153.2248960190136,302.14182105887784,1062.6345541401274,2000_09_29,2000-09-29,2451816.5
15,292.0,2189.7728106101376,4750.462798818157,7648.94890652216,17275.178918415706,890.3998322089,3,5556.434470108187,3,971568000000,432.92720810846384,3024.9354916646535,272.66650835456153,1112.1283772689958,2000_10_15,2000-10-15,2451832.5
16,309.0,2068.5104325487164,3504.0257699560025,4060.3529411764707,-1721.3954622390586,1939.8408376096672,3,1229.986473045554,3,972950400000,1566.4872761545712,4113.00079533404,1580.397120418848,1373.3330367074527,2000_10_31,2000-10-31,2451848.5
17,328.0,2467.341193854319,4829.631332813718,7264.468563685637,14527.41205446611,1956.1148884504478,3,1711.8640215041196,3,974332800000,494.94210856604957,3311.2960526315787,368.03929299796056,839.8098226466576,2000_11_16,2000-11-16,2451864.5
18,339.0,2061.6905281215536,2978.0198412698414,3425.1761579347,13486.99877841873,2228.9293080117586,3,2701.5183826123775,3,975715200000,1806.5612134344528,3951.4187415119964,1871.7960557960557,1456.2411134903641,2000_12_02,2000-12-02,2451880.5
19,358.1243751347749,2442.145021510069,5260.827232796486,8047.3095627298735,-2265.252233173142,2795.7919724562835,1,4015.084534805136,3,977097600000,375.5209125475285,3373.7372240701543,247.20442159383035,712.2492364080636,2000_12_18,2000-12-18,2451896.5
20,5.0,2459.761097860525,5278.565811965812,7140.218094255246,-2522.048157963333,2812.4434523809523,1,2713.673999849318,3,978307200000,623.3950302644154,3984.3025895707697,430.970545847595,1144.246767847105,2001_01_01,2001-01-01,2451910.5
21,26.0,2064.9307818419998,3935.8179310344826,5471.566246851386,14778.905767836803,2547.8696577697724,3,1647.2212317666126,3,979689600000,923.635761589404,3680.0422567382366,945.5077685950413,1111.4583727530746,2001_01_17,2001-01-17,2451926.5
22,37.0,2087.455659439376,5405.063726808282,7328.918227068026,-969.3466725782691,2747.571842350264,1,2644.7761122488996,3,981072000000,593.0072325846974,4143.750244857983,391.8126056879324,1047.5750093527872,2001_02_02,2001-02-02,2451942.5
23,60.0,3170.7079985609785,4953.711533012185,7333.9126136812965,877.0230760486529,2499.8478808013692,3,4015.709227822181,3,982454400000,559.0243216817404,3663.450168263008,375.1832732191163,952.4880877742946,2001_02_18,2001-02-18,2451958.5
