,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,cluster,millis,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,system:index,Timestamp,Jdate
0,58.0,2060.8577477046597,3678.6279211130623,5281.085195388226,-16970.945108855856,2131.811631799163,3,1840.0278831562973,7,950832000000,927.0729935843118,3295.701574712201,1008.6722961847862,1287.380933831471,2000_02_18,2000-02-18,2451592.5
1,70.0,2061.6714642347256,3678.7777563236145,5091.635068589518,-13974.785779398358,2259.544744576627,3,1359.7859167055278,7,952214400000,1054.960543478261,3743.6319960376422,1135.4223135921563,1591.918360165391,2000_03_05,2000-03-05,2451608.5
2,85.0,2097.8460249813456,5792.187187868129,8352.279096960927,2773.1101544177714,2859.883573081768,1,4560.609247921046,7,953596800000,293.6030689362507,3552.408251069986,235.94572643555156,710.9208013286278,2000_03_21,2000-03-21,2451624.5
3,100.0,2414.3450948944133,5153.742462311558,7710.884594615444,4157.083983148219,2715.3378804306712,3,1200.7779554418505,7,954979200000,414.00127647229476,3360.4994590695997,431.9983202311362,1001.3815226569096,2000_04_06,2000-04-06,2451640.5
4,120.0,2108.9151659074437,4703.213788262388,8608.450270128105,-11842.762384252566,2809.673036730968,0,1999.49604934416,7,956361600000,180.36473948865648,2608.140531284975,144.09296213572878,439.63757141730946,2000_04_22,2000-04-22,2451656.5
5,136.0,2116.7549828170963,4878.998305541649,8544.35204357077,-11250.754545454545,3169.116284444901,0,1486.1419198055894,7,957744000000,217.16957784034594,2735.151330214881,143.14320063074325,1052.259075121912,2000_05_08,2000-05-08,2451672.5
6,152.0,2112.0,4663.389103243587,8431.482604019247,-11075.671897517273,3426.0,0,1832.5293542672125,7,959126400000,219.4595480376996,2599.4670682842675,158.5330207422713,427.4503157005355,2000_05_24,2000-05-24,2451688.5
7,161.0,2112.0,4919.796488020579,8699.539485191575,-11198.387227888188,3604.0,0,407.0,7,960508800000,194.0,2779.287902846389,106.0,451.5561220340679,2000_06_09,2000-06-09,2451704.5
8,177.0,2112.0,5159.562820783239,8623.41360668582,-9618.953667953669,3714.0,0,705.5786553955884,7,961891200000,219.4693209504169,2951.5669166641765,134.57547537786445,1024.0,2000_06_25,2000-06-25,2451720.5
9,193.0,2112.0,5159.725517500941,8471.757652122207,-11470.431201200367,3617.573230606541,0,665.5243546368819,7,963273600000,241.50360523161152,2951.5098174852337,176.51535470028162,475.213303873807,2000_07_11,2000-07-11,2451736.5
10,209.0,2112.0,5207.348337275636,8519.698716656589,-11903.798389921998,3400.0,0,344.8778411309849,7,964656000000,238.51230489877918,2979.354192054594,166.4779047356828,941.0,2000_07_27,2000-07-27,2451752.5
