"","NDVI","Time","Type"
"1",-1717.69545801903,2000-02-18,"none"
"2",-1688.30765384126,2000-02-19,"none"
"3",-1657.91830639937,2000-02-20,"none"
"4",-1626.54067689225,2000-02-21,"none"
"5",-1594.18960736921,2000-02-22,"none"
"6",-1560.88152333515,2000-02-23,"none"
"7",-1526.63443290571,2000-02-24,"none"
"8",-1491.46792210158,2000-02-25,"none"
"9",-1455.40314621072,2000-02-26,"none"
"10",-1418.46281727711,2000-02-27,"none"
"11",-1380.67118775888,2000-02-28,"none"
"12",-1342.05403026866,2000-02-29,"none"
"13",-1302.63861345801,2000-03-01,"none"
"14",-1262.45367406758,2000-03-02,"none"
"15",-1221.52938516862,2000-03-03,"none"
"16",-1179.89732064576,2000-03-04,"none"
"17",-1137.59041597566,2000-03-05,"none"
"18",-1094.64292536481,2000-03-06,"none"
"19",-1051.09037532661,2000-03-07,"none"
"20",-1006.96951477208,2000-03-08,"none"
"21",-962.318261725094,2000-03-09,"none"
"22",-917.175646747387,2000-03-10,"none"
"23",-871.581753201416,2000-03-11,"none"
"24",-825.577654463118,2000-03-12,"none"
"25",-779.205348219662,2000-03-13,"none"
"26",-732.507687989043,2000-03-14,"none"
"27",-685.528312008195,2000-03-15,"none"
"28",-638.311569643998,2000-03-16,"none"
"29",-590.902445488153,2000-03-17,"none"
"30",-543.346481303832,2000-03-18,"none"
"31",-495.689695999321,2000-03-19,"none"
"32",-447.978503808057,2000-03-20,"none"
"33",-400.259630861861,2000-03-21,"none"
"34",-352.580030347995,2000-03-22,"none"
"35",-304.986796445727,2000-03-23,"none"
"36",-257.527077242121,2000-03-24,"none"
"37",-210.247986830321,2000-03-25,"none"
"38",-163.196516796711,2000-03-26,"none"
"39",-116.419447305864,2000-03-27,"none"
"40",-69.963257994242,2000-03-28,"none"
"41",-23.8740388850661,2000-03-29,"none"
"42",21.8025984622334,2000-03-30,"none"
"43",67.0216093542037,2000-03-31,"none"
"44",111.738603703565,2000-04-01,"none"
"45",155.909932894439,2000-04-02,"none"
"46",199.492775560915,2000-04-03,"none"
