"","NDVI","Time","Type"
"1",-1785.77192213757,2000-02-18,"none"
"2",-1773.08980815563,2000-02-19,"none"
"3",-1758.44675509566,2000-02-20,"none"
"4",-1741.83874243086,2000-02-21,"none"
"5",-1723.26584702914,2000-02-22,"none"
"6",-1702.73225980685,2000-02-23,"none"
"7",-1680.24629250493,2000-02-24,"none"
"8",-1655.82037406726,2000-02-25,"none"
"9",-1629.47103683163,2000-02-26,"none"
"10",-1601.21889239692,2000-02-27,"none"
"11",-1571.08859744241,2000-02-28,"none"
"12",-1539.10880935454,2000-02-29,"none"
"13",-1505.31213189884,2000-03-01,"none"
"14",-1469.73505102516,2000-03-02,"none"
"15",-1432.41786096016,2000-03-03,"none"
"16",-1393.40458078294,2000-03-04,"none"
"17",-1352.74286167522,2000-03-05,"none"
"18",-1310.4838850854,2000-03-06,"none"
"19",-1266.68225205391,2000-03-07,"none"
"20",-1221.39586398923,2000-03-08,"none"
"21",-1174.68579517351,2000-03-09,"none"
"22",-1126.61615733917,2000-03-10,"none"
"23",-1077.25395664502,2000-03-11,"none"
"24",-1026.66894341785,2000-03-12,"none"
"25",-974.933455038911,2000-03-13,"none"
"26",-922.12225237269,2000-03-14,"none"
"27",-868.312350152974,2000-03-15,"none"
"28",-813.582841756807,2000-03-16,"none"
"29",-758.014718810925,2000-03-17,"none"
"30",-701.690686089359,2000-03-18,"none"
"31",-644.694972172751,2000-03-19,"none"
"32",-587.11313635109,2000-03-20,"none"
"33",-529.031872261221,2000-03-21,"none"
"34",-470.538808758917,2000-03-22,"none"
"35",-411.72230853257,2000-03-23,"none"
"36",-352.671264971215,2000-03-24,"none"
"37",-293.474897804174,2000-03-25,"none"
"38",-234.222548032669,2000-03-26,"none"
"39",-175.003472675545,2000-03-27,"none"
"40",-115.906639851598,2000-03-28,"none"
"41",-57.0205247200158,2000-03-29,"none"
"42",1.56709320184319,2000-03-30,"none"
"43",59.7693308279231,2000-03-31,"none"
"44",117.500399889749,2000-04-01,"none"
"45",174.675802415481,2000-04-02,"none"
"46",231.212522805468,2000-04-03,"none"
"47",287.029216016959,2000-04-04,"none"
"48",342.046391380984,2000-04-05,"none"
"49",396.186591585895,2000-04-06,"none"
"50",449.374566374825,2000-04-07,"none"
"51",501.537440518257,2000-04-08,"none"
"52",552.604875637951,2000-04-09,"none"
"53",602.509225474678,2000-04-10,"none"
"54",651.185684209417,2000-04-11,"none"
"55",698.572427465985,2000-04-12,"none"
"56",744.610745642237,2000-04-13,"none"
"57",789.245169237169,2000-04-14,"none"
"58",832.423585862225,2000-04-15,"none"
"59",874.097348646969,2000-04-16,"none"
"60",914.22137577181,2000-04-17,"none"
"61",952.754240883766,2000-04-18,"none"
"62",989.658254175115,2000-04-19,"none"
"63",1024.89953392926,2000-04-20,"none"
"64",1058.44806836307,2000-04-21,"none"
"65",1090.27776762037,2000-04-22,"none"
"66",1120.36650579702,2000-04-23,"none"
"67",1148.69615290405,2000-04-24,"none"
"68",1175.25259670171,2000-04-25,"none"
"69",1200.02575436355,2000-04-26,"none"
"70",1223.00957395648,2000-04-27,"none"
"71",1244.20202574901,2000-04-28,"none"
"72",1263.60508338675,2000-04-29,"none"
"73",1281.22469500026,2000-04-30,"none"
"74",1297.07074433687,2000-05-01,"none"
"75",1311.15700203394,2000-05-02,"none"
"76",1323.50106717665,2000-05-03,"none"
"77",1334.12429930854,2000-05-04,"none"
"78",1343.05174108814,2000-05-05,"none"
"79",1350.3120318089,2000-05-06,"none"
"80",1355.93731202347,2000-05-07,"none"
"81",1359.96311953651,2000-05-08,"none"
"82",1362.42827705219,2000-05-09,"none"
"83",1363.37477178451,2000-05-10,"none"
"84",1362.84762735881,2000-05-11,"none"
"85",1360.89476835309,2000-05-12,"none"
"86",1357.56687784624,2000-05-13,"none"
"87",1352.91724835867,2000-05-14,"none"
"88",1347.00162658715,2000-05-15,"none"
"89",1339.87805235202,2000-05-16,"none"
"90",1331.60669218912,2000-05-17,"none"
"91",1322.24966803281,2000-05-18,"none"
"92",1311.87088144835,2000-05-19,"none"
"93",1300.53583388331,2000-05-20,"none"
"94",1288.31144341749,2000-05-21,"none"
"95",1275.26585849943,2000-05-22,"none"
"96",1261.46826916483,2000-05-23,"none"
"97",1246.98871623823,2000-05-24,"none"
"98",1231.89789902399,2000-05-25,"none"
"99",1216.26698199595,2000-05-26,"none"
"100",1200.16740099689,2000-05-27,"none"
"101",1183.67066945976,2000-05-28,"none"
"102",1166.84818516189,2000-05-29,"none"
"103",1149.77103802103,2000-05-30,"none"
"104",1132.50981943896,2000-05-31,"none"
"105",1115.1344336933,2000-06-01,"none"
"106",1097.71391187236,2000-06-02,"none"
"107",1080.31622884011,2000-06-03,"none"
"108",1063.00812370993,2000-06-04,"none"
"109",1045.85492429568,2000-06-05,"none"
"110",1028.92037599743,2000-06-06,"none"
"111",1012.26647556687,2000-06-07,"none"
"112",995.953310183741,2000-06-08,"none"
"113",980.038902260019,2000-06-09,"none"
"114",964.579060372614,2000-06-10,"none"
"115",949.627236708705,2000-06-11,"none"
"116",935.234391389791,2000-06-12,"none"
"117",921.448864021797,2000-06-13,"none"
"118",908.316252798823,2000-06-14,"none"
"119",895.879301467556,2000-06-15,"none"
"120",884.177794437966,2000-06-16,"none"
"121",873.248460303795,2000-06-17,"none"
"122",863.12488401353,2000-06-18,"none"
"123",853.837427909153,2000-06-19,"none"
"124",845.413161825952,2000-06-20,"none"
"125",837.875802422189,2000-06-21,"none"
"126",831.245661882575,2000-06-22,"none"
"127",825.539606114166,2000-06-23,"none"
"128",820.771022527765,2000-06-24,"none"
"129",816.949797472148,2000-06-25,"none"
"130",814.082303362459,2000-06-26,"none"
"131",812.171395518102,2000-06-27,"none"
"132",811.216418699421,2000-06-28,"none"
"133",811.213223306451,2000-06-29,"none"
"134",812.154191177169,2000-06-30,"none"
"135",814.028270896957,2000-07-01,"none"
"136",816.821022505617,2000-07-02,"none"
"137",820.514671463141,2000-07-03,"none"
"138",825.088171710741,2000-07-04,"none"
"139",830.517277639436,2000-07-05,"none"
"140",836.774624754722,2000-07-06,"none"
"141",843.829818802761,2000-07-07,"none"
"142",851.64953310103,2000-07-08,"none"
"143",860.197613794577,2000-07-09,"none"
"144",869.43519273806,2000-07-10,"none"
"145",879.320807683528,2000-07-11,"none"
"146",889.810529434611,2000-07-12,"none"
"147",900.858095609383,2000-07-13,"none"
"148",912.415050636786,2000-07-14,"none"
"149",924.430891595086,2000-07-15,"none"
"150",936.853219485535,2000-07-16,"none"
"151",949.627895520173,2000-07-17,"none"
"152",962.699201989663,2000-07-18,"none"
"153",976.010007265137,2000-07-19,"none"
"154",989.501934477334,2000-07-20,"none"
"155",1003.11553340691,2000-07-21,"none"
"156",1016.79045511154,2000-07-22,"none"
"157",1030.46562880861,2000-07-23,"none"
"158",1044.07944052662,2000-07-24,"none"
"159",1057.56991303418,2000-07-25,"none"
"160",1070.87488655246,2000-07-26,"none"
"161",1083.93219975546,2000-07-27,"none"
"162",1096.67987056191,2000-07-28,"none"
"163",1109.05627622405,2000-07-29,"none"
"164",1121.00033222046,2000-07-30,"none"
"165",1132.4516694642,2000-07-31,"none"
"166",1143.35080934229,2000-08-01,"none"
"167",1153.63933610911,2000-08-02,"none"
"168",1163.26006616353,2000-08-03,"none"
"169",1172.15721374903,2000-08-04,"none"
"170",1180.27655262552,2000-08-05,"none"
"171",1187.56557327342,2000-08-06,"none"
"172",1193.97363520279,2000-08-07,"none"
"173",1199.45211395402,2000-08-08,"none"
"174",1203.95454239131,2000-08-09,"none"
"175",1207.43674590613,2000-08-10,"none"
"176",1209.85697116442,2000-08-11,"none"
"177",1211.1760080495,2000-08-12,"none"
"178",1211.35730447109,2000-08-13,"none"
"179",1210.36707373063,2000-08-14,"none"
"180",1208.17439415368,2000-08-15,"none"
"181",1204.75130072108,2000-08-16,"none"
"182",1200.07286845297,2000-08-17,"none"
"183",1194.11728732192,2000-08-18,"none"
"184",1186.86592849508,2000-08-19,"none"
