"","NDVI","Time","Type"
"1",-1345.93663059558,2000-02-18,"none"
"2",-1328.27118158553,2000-02-19,"none"
"3",-1309.23853115684,2000-02-20,"none"
"4",-1288.85284115777,2000-02-21,"none"
"5",-1267.1308643564,2000-02-22,"none"
"6",-1244.09191762322,2000-02-23,"none"
"7",-1219.75784863991,2000-02-24,"none"
"8",-1194.15299684188,2000-02-25,"none"
"9",-1167.30414850027,2000-02-26,"none"
"10",-1139.24048608815,2000-02-27,"none"
"11",-1109.9935319913,2000-02-28,"none"
"12",-1079.59708676505,2000-02-29,"none"
"13",-1048.08716204129,2000-03-01,"none"
"14",-1015.50190826141,2000-03-02,"none"
"15",-981.881537403861,2000-03-03,"none"
"16",-947.268240895619,2000-03-04,"none"
"17",-911.706102903318,2000-03-05,"none"
"18",-875.241009213752,2000-03-06,"none"
"19",-837.920551925047,2000-03-07,"none"
"20",-799.793930181238,2000-03-08,"none"
"21",-760.911847187802,2000-03-09,"none"
"22",-721.326403761599,2000-03-10,"none"
"23",-681.090988674199,2000-03-11,"none"
"24",-640.260166053961,2000-03-12,"none"
"25",-598.889560123071,2000-03-13,"none"
"26",-557.035737549635,2000-03-14,"none"
"27",-514.756087702298,2000-03-15,"none"
"28",-472.108701099181,2000-03-16,"none"
"29",-429.152246347713,2000-03-17,"none"
"30",-385.945845875777,2000-03-18,"none"
"31",-342.548950756843,2000-03-19,"none"
"32",-299.021214934314,2000-03-20,"none"
"33",-255.422369151702,2000-03-21,"none"
"34",-211.812094895362,2000-03-22,"none"
"35",-168.249898656627,2000-03-23,"none"
"36",-124.794986818933,2000-03-24,"none"
"37",-81.5061414737934,2000-03-25,"none"
"38",-38.4415974668255,2000-03-26,"none"
"39",4.34107902832204,2000-03-27,"none"
"40",46.7851101144435,2000-03-28,"none"
"41",88.8346236648256,2000-03-29,"none"
"42",130.434768423713,2000-03-30,"none"
"43",171.531826436314,2000-03-31,"none"
"44",212.073322538605,2000-04-01,"none"
"45",252.008130644864,2000-04-02,"none"
"46",291.286576579315,2000-04-03,"none"
"47",329.860537207299,2000-04-04,"none"
"48",367.683535631059,2000-04-05,"none"
"49",404.710832225506,2000-04-06,"none"
"50",440.899511300148,2000-04-07,"none"
"51",476.208563184751,2000-04-08,"none"
"52",510.598961548177,2000-04-09,"none"
"53",544.033735772204,2000-04-10,"none"
"54",576.478038214925,2000-04-11,"none"
"55",607.899206211576,2000-04-12,"none"
"56",638.266818674173,2000-04-13,"none"
"57",667.552747165333,2000-04-14,"none"
"58",695.731201335849,2000-04-15,"none"
"59",722.778768630103,2000-04-16,"none"
"60",748.674448178152,2000-04-17,"none"
"61",773.399678808208,2000-04-18,"none"
"62",796.93836112834,2000-04-19,"none"
"63",819.276873641391,2000-04-20,"none"
"64",840.404082872362,2000-04-21,"none"
"65",860.311347502821,2000-04-22,"none"
"66",878.992516522132,2000-04-23,"none"
"67",896.443921420591,2000-04-24,"none"
"68",912.664362464644,2000-04-25,"none"
"69",927.655089109413,2000-04-26,"none"
"70",941.419774618587,2000-04-27,"none"
"71",953.964484976409,2000-04-28,"none"
"72",965.297642190839,2000-04-29,"none"
"73",975.429982101148,2000-04-30,"none"
"74",984.374506816973,2000-05-01,"none"
"75",992.146431929313,2000-05-02,"none"
"76",998.763128647018,2000-05-03,"none"
"77",1004.24406102495,2000-05-04,"none"
"78",1008.61071846221,2000-05-05,"none"
"79",1011.88654366044,2000-05-06,"none"
"80",1014.09685624354,2000-05-07,"none"
"81",1015.26877225061,2000-05-08,"none"
"82",1015.43111972415,2000-05-09,"none"
"83",1014.61435062482,2000-05-10,"none"
"84",1012.85044931318,2000-05-11,"none"
"85",1010.17283784676,2000-05-12,"none"
"86",1006.6162783485,2000-05-13,"none"
"87",1002.21677270943,2000-05-14,"none"
"88",997.011459894556,2000-05-15,"none"
"89",991.038511126419,2000-05-16,"none"
"90",984.337023225447,2000-05-17,"none"
"91",976.946910390176,2000-05-18,"none"
"92",968.90879470367,2000-05-19,"none"
"93",960.263895654884,2000-05-20,"none"
"94",951.0539189654,2000-05-21,"none"
"95",941.320945012902,2000-05-22,"none"
"96",931.107317142893,2000-05-23,"none"
"97",920.455530159538,2000-05-24,"none"
"98",909.408119285139,2000-05-25,"none"
"99",898.007549875606,2000-05-26,"none"
"100",886.296108176364,2000-05-27,"none"
"101",874.315793399529,2000-05-28,"none"
"102",862.108211398777,2000-05-29,"none"
"103",849.714470213241,2000-05-30,"none"
"104",837.175077745955,2000-05-31,"none"
"105",824.529841835892,2000-06-01,"none"
"106",811.817772975406,2000-06-02,"none"
"107",799.076989917146,2000-06-03,"none"
"108",786.344628405999,2000-06-04,"none"
"109",773.656753262552,2000-06-05,"none"
"110",761.048274034959,2000-06-06,"none"
"111",748.552864425853,2000-06-07,"none"
"112",736.202885690236,2000-06-08,"none"
"113",724.029314189044,2000-06-09,"none"
"114",712.061673271389,2000-06-10,"none"
"115",700.327969646333,2000-06-11,"none"
"116",688.854634392543,2000-06-12,"none"
"117",677.666468741217,2000-06-13,"none"
"118",666.786594754503,2000-06-14,"none"
"119",656.236411008015,2000-06-15,"none"
"120",646.035553372311,2000-06-16,"none"
"121",636.201860974149,2000-06-17,"none"
"122",626.751347404107,2000-06-18,"none"
"123",617.698177222838,2000-06-19,"none"
"124",609.054647803722,2000-06-20,"none"
"125",600.831176535143,2000-06-21,"none"
"126",593.036293391078,2000-06-22,"none"
"127",585.676638864077,2000-06-23,"none"
"128",578.756967240229,2000-06-24,"none"
"129",572.280155181251,2000-06-25,"none"
"130",566.247215564576,2000-06-26,"none"
"131",560.657316518094,2000-06-27,"none"
"132",555.507805572334,2000-06-28,"none"
"133",550.794238839124,2000-06-29,"none"
"134",546.510415112337,2000-06-30,"none"
"135",542.648414773226,2000-07-01,"none"
"136",539.198643370054,2000-07-02,"none"
"137",536.149879729326,2000-07-03,"none"
"138",533.489328443972,2000-07-04,"none"
"139",531.202676572239,2000-07-05,"none"
"140",529.274154370021,2000-07-06,"none"
"141",527.686599868772,2000-07-07,"none"
"142",526.421527101107,2000-07-08,"none"
"143",525.459197766739,2000-07-09,"none"
"144",524.778696122478,2000-07-10,"none"
"145",524.358006871763,2000-07-11,"none"
"146",524.174095821503,2000-07-12,"none"
"147",524.202993067019,2000-07-13,"none"
"148",524.419878459511,2000-07-14,"none"
"149",524.799169104832,2000-07-15,"none"
"150",525.314608637347,2000-07-16,"none"
