"","NDVI","Time","Type"
"1",-1147.40090568045,2000-02-18,"none"
"2",-1132.12311640276,2000-02-19,"none"
"3",-1115.41581570523,2000-02-20,"none"
"4",-1097.28863934442,2000-02-21,"none"
"5",-1077.75408366125,2000-02-22,"none"
"6",-1056.82749209077,2000-02-23,"none"
"7",-1034.52703441345,2000-02-24,"none"
"8",-1010.87367956572,2000-02-25,"none"
"9",-985.891161750903,2000-02-26,"none"
"10",-959.605940069867,2000-02-27,"none"
"11",-932.047151610503,2000-02-28,"none"
"12",-903.246558233661,2000-02-29,"none"
"13",-873.238487104909,2000-03-01,"none"
"14",-842.059765122121,2000-03-02,"none"
"15",-809.749647396128,2000-03-03,"none"
"16",-776.349739945056,2000-03-04,"none"
"17",-741.903916786768,2000-03-05,"none"
"18",-706.458231622592,2000-03-06,"none"
"19",-670.060824321051,2000-03-07,"none"
"20",-632.761822427186,2000-03-08,"none"
"21",-594.613237925382,2000-03-09,"none"
"22",-555.668859510005,2000-03-10,"none"
"23",-515.984140615889,2000-03-11,"none"
"24",-475.616083481159,2000-03-12,"none"
"25",-434.623119519008,2000-03-13,"none"
"26",-393.064986288257,2000-03-14,"none"
"27",-351.002601358128,2000-03-15,"none"
"28",-308.497933372687,2000-03-16,"none"
"29",-265.613870626446,2000-03-17,"none"
"30",-222.414087468636,2000-03-18,"none"
"31",-178.962908860598,2000-03-19,"none"
"32",-135.325173413232,2000-03-20,"none"
"33",-91.56609523699,2000-03-21,"none"
"34",-47.7511249392621,2000-03-22,"none"
"35",-3.9458101057794,2000-03-23,"none"
"36",39.7843443956397,2000-03-24,"none"
"37",83.374015950495,2000-03-25,"none"
"38",126.758203234169,2000-03-26,"none"
"39",169.87236441294,2000-03-27,"none"
"40",212.652554175017,2000-03-28,"none"
"41",255.03555926017,2000-03-29,"none"
"42",296.959032160525,2000-03-30,"none"
"43",338.36162266974,2000-03-31,"none"
"44",379.183106963476,2000-04-01,"none"
"45",419.364513900323,2000-04-02,"none"
