,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,cluster,millis,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,system:index,Timestamp,Jdate
0,58.0,2060.415438756806,4189.077904761904,5602.9143825069295,-16958.67078347454,2105.733025984912,3,1938.0273177027318,8,950832000000,991.9995498030388,3629.7678227360307,990.1457306729138,1303.7747366962305,2000_02_18,2000-02-18,2451592.5
1,70.0,2062.5904941906515,4512.414212076583,5802.345259391771,1399.5268682531162,2365.588991923422,3,1198.067942583732,8,952214400000,990.3623168178647,4013.9376,1077.5060908084165,1592.9772169645987,2000_03_05,2000-03-05,2451608.5
2,85.0,2100.2667561013363,6367.292994603401,8607.643780919616,2851.0775570327846,2851.058835052893,1,4493.3020315539225,8,953596800000,300.36041834271924,3887.2406386400185,237.07316648422727,707.0788129408903,2000_03_21,2000-03-21,2451624.5
3,103.0,2413.8917624521073,5663.251089324619,8029.077559272193,3928.8925419240954,2701.523936170213,3,1104.464558342421,8,954979200000,367.47910643889617,3632.4824505424376,397.25726435152376,1000.5955483170467,2000_04_06,2000-04-06,2451640.5
4,120.0,2111.492515329814,5279.059248287354,8862.253573848238,-11842.338502816412,2809.5488377015063,0,2063.226260340805,8,956361600000,176.9085344506925,2927.548150750238,136.03634314840556,439.40134094458506,2000_04_22,2000-04-22,2451656.5
5,138.0,2113.9453262786596,5647.945929708621,8751.101174291092,6201.179712552195,3358.189969040248,0,1204.5501837007348,8,957744000000,219.26456455602627,3287.447163769442,139.443095549197,555.3823820848197,2000_05_08,2000-05-08,2451672.5
6,152.0,2112.0,5223.634502651903,8647.933042665836,-11070.48405319619,3428.0,0,1912.9575299635226,8,959126400000,214.47785246466736,2947.792084364015,154.0,435.4100101596795,2000_05_24,2000-05-24,2451688.5
7,161.0,2112.0,5511.163504861276,8891.813066965651,-11327.799988837105,3606.0,0,498.2968588194684,8,960508800000,184.47172168880704,3171.4491237248235,101.0,461.58872747988323,2000_06_09,2000-06-09,2451704.5
8,177.0,2112.0,5710.144985808893,8816.415634310804,-10949.636869228021,3699.0,0,669.7171178561663,8,961891200000,203.31154508095958,3304.1662351113414,128.56120417979764,1026.0,2000_06_25,2000-06-25,2451720.5
9,193.0,2112.0,5710.6278390349635,8662.79796985077,-11468.457269965278,3617.3217513045693,0,727.4929980903883,8,963273600000,237.3949024036135,3319.635681669928,172.50685147267285,491.9569142857143,2000_07_11,2000-07-11,2451736.5
10,209.0,2112.0,5671.017012625723,8695.830662970446,-11918.071295791802,3400.0,0,434.0840123630233,8,964656000000,228.4704974271012,3283.2231272959593,156.50508833346902,938.5730410544065,2000_07_27,2000-07-27,2451752.5
11,234.0,2181.0,5911.917154925739,8535.327705052805,5056.488419047619,2921.520678174012,1,956.8771008403361,8,966038400000,281.5416526300592,3515.733555062823,206.43693767380992,1089.529953750542,2000_08_12,2000-08-12,2451768.5
12,248.0,2203.5275744432174,5743.434646739131,8688.765336120729,-13148.675391072109,2308.4738701425267,1,2124.185262881867,8,967420800000,227.27291923279958,3303.2693104468776,179.53020682148042,921.6146682379128,2000_08_28,2000-08-28,2451784.5
13,261.0,2116.0,6288.048458149779,8439.96636657041,3012.140428110993,2595.3546915899856,0,4399.724466636405,8,968803200000,323.54282393957004,3842.90484375,238.5985298886607,1692.3795570118168,2000_09_13,2000-09-13,2451800.5
14,287.0,2213.687677149413,5664.074728361298,8735.62226428487,-17363.562573430034,1315.9665261339971,1,3161.9896837476745,8,970185600000,205.65422594816815,3247.8830500689023,167.11029982911293,391.1133291219204,2000_09_29,2000-09-29,2451816.5
15,292.0,2164.6970300335765,5026.3058876607265,8091.849736623232,17288.58782887399,883.505902587757,3,5584.524373699918,8,971568000000,368.1804535637149,3083.033279220779,271.481178232651,1113.489063257034,2000_10_15,2000-10-15,2451832.5
16,314.0,2069.888484174516,4513.0954165465555,5347.143129770992,-1954.190307419678,1907.0364421306583,3,876.9694454531307,8,972950400000,1198.0875756496973,4430.169294990724,1326.6161737049067,1121.392403388036,2000_10_31,2000-10-31,2451848.5
17,328.0,2150.398925154957,5792.7583223170295,8222.927685466884,13398.076886718134,1953.937420053134,1,2125.14161692892,8,974332800000,332.8183052047681,3696.8895793499046,296.8364708550692,631.6003016591252,2000_11_16,2000-11-16,2451864.5
18,339.0,2059.736235345298,2909.3041675758236,3169.5724576271186,13437.770446653096,2226.81702790085,3,2634.7030415602508,8,975715200000,1967.5248434237997,4142.91358260206,2062.3117522871216,1550.9716143011917,2000_12_02,2000-12-02,2451880.5
19,364.0139801730748,2140.4204589750093,6177.026315789473,8412.977225825472,-2332.985251521352,2859.562467777969,1,4302.609607518928,8,977097600000,337.6436374372601,3920.740409764603,247.4449086351582,694.951313755796,2000_12_18,2000-12-18,2451896.5
20,6.0,2066.9190331448226,4449.267142290923,5979.896067415731,-2023.2331555986427,2795.6606454455336,3,3720.0436893203882,8,978307200000,927.251249632461,4172.821991404012,1004.4087851206965,1223.7063012516185,2001_01_01,2001-01-01,2451910.5
21,26.0,2072.167320909161,4834.314155942468,7014.395536040981,15416.633124360287,2403.1663841439563,3,1840.558464742636,8,979689600000,542.4442332754127,3437.680844822529,657.1605889014722,807.8130619971604,2001_01_17,2001-01-17,2451926.5
22,37.0,2078.110630163616,6237.457250470809,8221.600863171356,-968.956507413509,2723.7952249770433,1,2508.6112079540317,8,981072000000,407.759687689072,4464.333850931677,399.96040779966347,934.9157466589193,2001_02_02,2001-02-02,2451942.5
23,63.0,2447.2441122096293,5086.84626647145,7206.383167799268,1097.8837881601698,2467.307614213198,3,5045.98717948718,8,982454400000,592.5110504774898,3759.716292682927,594.6382978723404,949.7106972715461,2001_02_18,2001-02-18,2451958.5
24,67.0,2058.81418384982,3148.7888730385166,3812.6623036649216,-16263.072811002552,2324.1559915907496,3,2348.214106583072,8,983836800000,1583.3544494720966,3824.5391422736557,1678.322794492606,1304.1595619867032,2001_03_06,2001-03-06,2451974.5
25,90.0,2059.173580148212,4579.351792336218,6691.899649312112,-14190.46023734607,2363.4880356149138,3,2863.6972034715527,8,985219200000,608.9980530178224,3502.7605075337033,785.5805683886322,838.3102225088682,2001_03_22,2001-03-22,2451990.5
26,102.0,2059.5616654407604,4703.931333333333,7009.52438016529,-12863.563262411348,2611.268127053669,3,2517.2767389678384,8,986601600000,542.1838303389517,3246.547389373756,656.1674267100977,824.6768700975703,2001_04_07,2001-04-07,2452006.5
27,115.0,2111.9382132607802,5711.285056058977,8735.566436464089,-12101.305140663428,2926.059683604986,0,659.0047737760568,8,987984000000,204.2579355421896,3312.362821512081,147.2957750226148,523.6176458711892,2001_04_23,2001-04-23,2452022.5
28,140.0,2105.67563915464,5920.972970846284,8738.421434306936,6084.170820453944,3492.124252252252,0,1073.3793820021683,8,989366400000,235.98459935155165,3470.538532911254,173.89614535473476,535.2057928905434,2001_05_09,2001-05-09,2452038.5
29,151.0,2112.0,5966.88814993954,8719.572950781863,5930.805956960183,3924.514546416292,0,3441.3723273207215,8,990748800000,247.00093447669306,3527.539990186457,177.77804416403785,537.9024730059213,2001_05_25,2001-05-25,2452054.5
30,165.0,2112.0,6038.939397871788,8845.48786440678,6208.485700204716,3899.0,0,2295.6952729809873,8,992131200000,218.0,3547.399352651048,143.0,525.510033213396,2001_06_10,2001-06-10,2452070.5
31,188.0,2112.0,5879.281949934124,8807.373919562533,6084.9582135454975,3834.479561510353,0,1142.4011686793922,8,993513600000,217.55681988883882,3399.9480815087795,152.4326773187841,493.5885256513999,2001_06_26,2001-06-26,2452086.5
32,195.0,2112.0,5675.624647390691,8807.119285406801,-11832.005764915268,3686.0,0,499.71181262729124,8,994896000000,205.4422709460116,3235.342429808449,146.4258297793436,453.3811923600262,2001_07_12,2001-07-12,2452102.5
33,211.0,2112.0,5719.920965451964,8707.352059521243,-12087.52072647336,3451.0,0,579.0,8,996278400000,230.4247508305648,3307.1605908233814,164.4762827611665,475.1345396404477,2001_07_28,2001-07-28,2452118.5
34,227.0,2112.0,5735.366133806986,8723.343313777059,-12715.351593068754,3107.0,0,597.0,8,997660800000,224.5138012318455,3299.192867540029,164.4994288977727,475.54966155546344,2001_08_13,2001-08-13,2452134.5
35,245.0,2253.396003839958,6126.1682070240295,8432.526543278289,3947.2873844480696,2890.229374067954,1,2663.0,8,999043200000,315.5180406096314,3735.1094632768363,235.673239992112,610.9807692307693,2001_08_29,2001-08-29,2452150.5
36,263.0,2217.3256346987732,6575.121481370866,8478.488452367435,2386.7919347919346,2482.888696518979,1,3541.2006423000457,8,1000425600000,335.57074682428885,4049.611367837338,247.17227130623897,694.6245966296163,2001_09_14,2001-09-14,2452166.5
37,277.0,2235.748368178201,5967.180495689655,8720.896628146273,-15567.586386197116,1924.3237805760602,1,3279.913163941073,8,1001808000000,246.8313163560769,3623.651619234544,183.81751145950975,547.2547457229904,2001_09_30,2001-09-30,2452182.5
38,302.0,2158.8199547580875,6799.031500308071,8464.3835995086,-713.3461121940654,2299.26504055881,1,3695.3421575808306,8,1003190400000,359.2039218725779,4334.459012780961,261.77942586791124,712.6870692194403,2001_10_16,2001-10-16,2452198.5
39,312.0,2493.2399278954485,6178.118266098722,8221.417007649885,15245.167388034502,1891.6400195303831,1,1232.3545002760904,8,1004572800000,396.5808362369338,3919.9384340480833,300.6142847080369,680.7040326452233,2001_11_01,2001-11-01,2452214.5
40,326.0,2060.1561162031016,3739.462236533958,4637.60304004677,13872.139214320825,2139.3939074046148,3,748.7359096445576,8,1005955200000,1314.3132563638892,3887.251789077213,1487.0872180451129,1141.639668367347,2001_11_17,2001-11-17,2452230.5
41,350.0,2128.270049662621,6752.36976069972,8284.381129371726,-2624.3726428575774,2921.9089408178816,1,3525.5887217555514,8,1007337600000,399.26310975609755,4303.274366061772,304.30598839310386,774.8436195634857,2001_12_03,2001-12-03,2452246.5
42,362.0,2065.2618809709493,4637.1419994779435,6689.713816869052,14784.055882437358,2587.142123339716,3,2062.3904903275234,8,1008720000000,720.1850934474218,3470.8984615384616,762.220305569246,1032.717894736842,2001_12_19,2001-12-19,2452262.5
43,15.0,2059.3255406101816,2528.260816075456,2655.8082673702725,-2173.610825201622,2867.3131776668015,3,1039.8206179066835,8,1009843200000,2351.824761904762,4207.511233573548,2355.9445564516127,1559.4837209302325,2002_01_01,2002-01-01,2452275.5
44,24.0,2380.424668418249,6880.693055808035,8610.150959752322,-1610.0903467439894,3011.7478455444348,1,2477.3345329134804,8,1011225600000,332.8145455936645,4398.858237893408,263.53074877085515,856.5142568153357,2002_01_17,2002-01-17,2452291.5
45,40.0,2418.1447478115883,6626.7187159956475,7524.846863468635,-804.5523869956329,2993.491395793499,3,3385.9012451696008,8,1012608000000,672.5820650552074,4878.756190226647,719.3995236304376,1206.1997679365693,2002_02_02,2002-02-02,2452307.5
