"","NDVI","Time","Type"
"1",-1673.78852813244,2000-02-18,"none"
"2",-1638.57413252407,2000-02-19,"none"
"3",-1602.68406431318,2000-02-20,"none"
"4",-1566.13373946352,2000-02-21,"none"
"5",-1528.93932659658,2000-02-22,"none"
"6",-1491.11775657689,2000-02-23,"none"
"7",-1452.68672822413,2000-02-24,"none"
"8",-1413.66471310669,2000-02-25,"none"
"9",-1374.07095833921,2000-02-26,"none"
"10",-1333.92548744126,2000-02-27,"none"
"11",-1293.2490993008,2000-02-28,"none"
"12",-1252.06336510445,2000-02-29,"none"
"13",-1210.39062323247,2000-03-01,"none"
"14",-1168.2539720928,2000-03-02,"none"
"15",-1125.67726085344,2000-03-03,"none"
"16",-1082.6850780537,2000-03-04,"none"
"17",-1039.30273807949,2000-03-05,"none"
"18",-995.556265494617,2000-03-06,"none"
"19",-951.472377220322,2000-03-07,"none"
"20",-907.07846257044,2000-03-08,"none"
"21",-862.402561145809,2000-03-09,"none"
"22",-817.473338608471,2000-03-10,"none"
"23",-772.320060352641,2000-03-11,"none"
"24",-726.972563102959,2000-03-12,"none"
"25",-681.461224472897,2000-03-13,"none"
"26",-635.816930523587,2000-03-14,"none"
"27",-590.071041369845,2000-03-15,"none"
"28",-544.255354885228,2000-03-16,"none"
"29",-498.402068565136,2000-03-17,"none"
"30",-452.543739611638,2000-03-18,"none"
"31",-406.713243310538,2000-03-19,"none"
"32",-360.943729775681,2000-03-20,"none"
"33",-315.268579141895,2000-03-21,"none"
"34",-269.721355292495,2000-03-22,"none"
"35",-224.335758212632,2000-03-23,"none"
"36",-179.145575064523,2000-03-24,"none"
"37",-134.184630085175,2000-03-25,"none"
"38",-89.486733411588,2000-03-26,"none"
"39",-45.0856289425457,2000-03-27,"none"
"40",-1.01494134988786,2000-03-28,"none"
"41",42.6918776441965,2000-03-29,"none"
"42",86.0016036040914,2000-03-30,"none"
"43",128.881294209149,2000-03-31,"none"
"44",171.298344448084,2000-04-01,"none"
"45",213.220542051614,2000-04-02,"none"
"46",254.61612303347,2000-04-03,"none"
"47",295.453827208281,2000-04-04,"none"
"48",335.702953553391,2000-04-05,"none"
"49",375.333415280701,2000-04-06,"none"
"50",414.315794483896,2000-04-07,"none"
"51",452.621396226145,2000-04-08,"none"
"52",490.222301933329,2000-04-09,"none"
"53",527.091421958256,2000-04-10,"none"
"54",563.202547182074,2000-04-11,"none"
"55",598.530399520133,2000-04-12,"none"
"56",633.050681201037,2000-04-13,"none"
"57",666.74012268939,2000-04-14,"none"
"58",699.576529124883,2000-04-15,"none"
"59",731.538825152894,2000-04-16,"none"
"60",762.607098024542,2000-04-17,"none"
"61",792.762638847339,2000-04-18,"none"
"62",821.987981871064,2000-04-19,"none"
"63",850.266941697286,2000-04-20,"none"
"64",877.584648305076,2000-04-21,"none"
"65",903.927579789898,2000-04-22,"none"
"66",929.283592717345,2000-04-23,"none"
"67",953.641949998406,2000-04-24,"none"
"68",976.993346198212,2000-04-25,"none"
"69",999.329930195721,2000-04-26,"none"
"70",1020.64532511756,2000-04-27,"none"
"71",1040.93464547527,2000-04-28,"none"
"72",1060.19451144134,2000-04-29,"none"
"73",1078.42306020593,2000-04-30,"none"
"74",1095.61995436267,2000-05-01,"none"
"75",1111.7863872787,2000-05-02,"none"
"76",1126.9250854112,2000-05-03,"none"
"77",1141.04030753933,2000-05-04,"none"
"78",1154.13784088818,2000-05-05,"none"
"79",1166.22499412802,2000-05-06,"none"
"80",1177.31058724003,2000-05-07,"none"
"81",1187.40493824668,2000-05-08,"none"
"82",1196.51984681264,2000-05-09,"none"
"83",1204.66857472937,2000-05-10,"none"
"84",1211.86582330427,2000-05-11,"none"
"85",1218.12770768248,2000-05-12,"none"
"86",1223.47172813701,2000-05-13,"none"
"87",1227.91673837026,2000-05-14,"none"
"88",1231.48291087719,2000-05-15,"none"
"89",1234.19169942786,2000-05-16,"none"
"90",1236.06579873377,2000-05-17,"none"
"91",1237.12910136997,2000-05-18,"none"
"92",1237.40665203127,2000-05-19,"none"
"93",1236.92459920778,2000-05-20,"none"
"94",1235.7101443716,2000-05-21,"none"
"95",1233.79148877259,2000-05-22,"none"
"96",1231.19777794739,2000-05-23,"none"
"97",1227.95904405169,2000-05-24,"none"
"98",1224.1061461314,2000-05-25,"none"
"99",1219.67070845362,2000-05-26,"none"
"100",1214.68505702366,2000-05-27,"none"
"101",1209.18215441884,2000-05-28,"none"
"102",1203.1955330746,2000-05-29,"none"
"103",1196.75922716245,2000-05-30,"none"
"104",1189.90770320324,2000-05-31,"none"
"105",1182.67578956287,2000-06-01,"none"
"106",1175.09860498047,2000-06-02,"none"
"107",1167.21148628229,2000-06-03,"none"
"108",1159.04991543672,2000-06-04,"none"
"109",1150.64944610814,2000-06-05,"none"
"110",1142.04562986913,2000-06-06,"none"
"111",1133.27394223148,2000-06-07,"none"
"112",1124.36970865824,2000-06-08,"none"
"113",1115.36803071866,2000-06-09,"none"
"114",1106.30371254898,2000-06-10,"none"
"115",1097.21118778125,2000-06-11,"none"
"116",1088.12444710201,2000-06-12,"none"
"117",1079.07696660173,2000-06-13,"none"
"118",1070.10163707449,2000-06-14,"none"
"119",1061.23069442569,2000-06-15,"none"
"120",1052.49565134335,2000-06-16,"none"
"121",1043.92723038635,2000-06-17,"none"
"122",1035.55529863969,2000-06-18,"none"
"123",1027.40880408401,2000-06-19,"none"
"124",1019.51571382275,2000-06-20,"none"
"125",1011.90295430655,2000-06-21,"none"
"126",1004.59635369018,2000-06-22,"none"
"127",997.620586452549,2000-06-23,"none"
"128",990.99912040572,2000-06-24,"none"
"129",984.754166213228,2000-06-25,"none"
"130",978.906629532866,2000-06-26,"none"
"131",973.476065892975,2000-06-27,"none"
"132",968.480638405406,2000-06-28,"none"
"133",963.937078411862,2000-06-29,"none"
"134",959.860649153866,2000-06-30,"none"
"135",956.2651125497,2000-07-01,"none"
"136",953.162699154757,2000-07-02,"none"
"137",950.564081374522,2000-07-03,"none"
"138",948.478349992043,2000-07-04,"none"
"139",946.912994064246,2000-07-05,"none"
"140",945.873884233833,2000-07-06,"none"
"141",945.365259495691,2000-07-07,"none"
"142",945.389717448955,2000-07-08,"none"
"143",945.948208057854,2000-07-09,"none"
"144",947.040030936568,2000-07-10,"none"
"145",948.662836165204,2000-07-11,"none"
"146",950.812628636036,2000-07-12,"none"
"147",953.48377592104,2000-07-13,"none"
"148",956.669019643761,2000-07-14,"none"
"149",960.359490330573,2000-07-15,"none"
"150",964.544725708427,2000-07-16,"none"
"151",969.212692408378,2000-07-17,"none"
"152",974.349811026406,2000-07-18,"none"
